,Australia,Austria,Belgium,Canada,Czechia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Japan,South Korea,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Slovakia,Spain,Sweden,United Kingdom,United States,Chile,Estonia,Slovenia,Switzerland,Latvia,Lithuania,European Union
,/home/adarsh/Downloads/flags/au.png,/home/adarsh/Downloads/flags/at.png,/home/adarsh/Downloads/flags/be.png,/home/adarsh/Downloads/flags/ca.png,/home/adarsh/Downloads/flags/cz.png,/home/adarsh/Downloads/flags/fi.png,/home/adarsh/Downloads/flags/fr.png,/home/adarsh/Downloads/flags/de.png,/home/adarsh/Downloads/flags/gr.png,/home/adarsh/Downloads/flags/hu.png,/home/adarsh/Downloads/flags/ie.png,/home/adarsh/Downloads/flags/it.png,/home/adarsh/Downloads/flags/jp.png,/home/adarsh/Downloads/flags/kr.png,/home/adarsh/Downloads/flags/lu.png,/home/adarsh/Downloads/flags/mx.png,/home/adarsh/Downloads/flags/nl.png,/home/adarsh/Downloads/flags/nz.png,/home/adarsh/Downloads/flags/no.png,/home/adarsh/Downloads/flags/pl.png,/home/adarsh/Downloads/flags/sk.png,/home/adarsh/Downloads/flags/es.png,/home/adarsh/Downloads/flags/se.png,/home/adarsh/Downloads/flags/gb.png,/home/adarsh/Downloads/flags/us.png,/home/adarsh/Downloads/flags/cl.png,/home/adarsh/Downloads/flags/ee.png,/home/adarsh/Downloads/flags/si.png,/home/adarsh/Downloads/flags/ch.png,/home/adarsh/Downloads/flags/lv.png,/home/adarsh/Downloads/flags/lt.png,/home/adarsh/Downloads/flags/eu.png
,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey,Grey
2001-01,67421,39833,65916,72166,81250,91250,87416,78583,106750,55750,41750,90083,50333,40000,19000,27566,30750,54500,34083,183083,194583,105583,58250,50969,47333,98524,130416,61916,0,134833,174166,87333
2001-02,67110,40166,66694,72548,80555,91208,87326,79270,106465,55756,42208,89638,50618,39381,19548,27751,31243,54375,34298,184520,194041,106319,58354,51043,48201,98485,128993,62041,0,134006,171131,87597
2001-03,66799,40499,67472,72930,79861,91166,87236,79958,106180,55763,42666,89194,50902,38763,20097,27936,31736,54250,34513,185958,193499,107055,58458,51116,49069,98445,127569,62166,0,133180,168097,87861
2001-04,66488,40833,68250,73312,79166,91125,87145,80645,105895,55770,43125,88749,51187,38145,20645,28120,32229,54125,34729,187395,192958,107791,58562,51189,49937,98406,126145,62291,0,132354,165062,88125
2001-05,66177,41166,69027,73694,78472,91083,87055,81333,105611,55777,43583,88305,51472,37527,21194,28305,32722,54000,34944,188833,192416,108527,58666,51262,50805,98366,124722,62416,0,131527,162027,88388
2001-06,65866,41499,69805,74076,77777,91041,86965,82020,105326,55784,44041,87861,51756,36909,21743,28490,33215,53875,35159,190270,191874,109263,58770,51336,51673,98327,123298,62541,24915,130701,158993,88652
2001-07,65555,41833,70583,74458,77083,91000,86875,82708,105041,55791,44499,87416,52041,36291,22291,28675,33708,53750,35375,191708,191333,110000,58875,51409,52541,98287,121875,62666,25275,129875,155958,88916
2001-08,65244,42166,71361,74840,76388,90958,86784,83395,104756,55798,44958,86972,52326,35673,22840,28859,34201,53625,35590,193145,190791,110736,58979,51482,53409,98247,120451,62791,25635,129048,152923,89180
